Create Drone Method,26c8ac8f-fe8c-4512-859e-d93f0e3d7539,148.98,-191.16,026a20c2-57c1-4b35-ab97-25b522c277cf,488.98,-176.16
Create Drone Method,ad37fe15-b88c-4316-8095-5ec8ff25f747,23.98,-131.16,a29b313f-ff05-4602-9498-e50aad2c8d00,148.98,-316.16
Create Drone Method,6012c0d7-5b3f-4ddf-a548-a4a9c451561f,-131.02,-176.16,2a0ee58c-97a3-478e-899a-7e436b65a7d1,348.98,-131.16
Create Drone Method,4067f367-5b79-4009-855a-c4439c4ff724,208.98,-191.16,eafb1408-c53f-449d-9856-4b18bf32b861,363.98,8.84
Create Drone Method,4f487601-9beb-4703-952e-dba32a53d092,208.98,163.84,620e72e3-197b-43ce-98f0-8349f407471c,223.98,-176.16
Create Drone Method,4c6b4e6c-be16-4d3b-a7b6-46692bb6e4a6,488.98,-131.16,af8869a5-f1c6-4c81-826c-a58eb13f03b4,348.98,-331.16
Create Drone Method,894c4b2e-bf7b-4604-b2a1-e30aa06426f5,503.98,-191.16,eb694365-8b76-493d-b5cb-ec2cf6d9bd46,148.98,-456.16
Create Drone Method,7461740b-b11f-427b-bd50-a6d70fb82914,8.98,-116.16,3b46a885-92e6-4867-9046-9457e00ee4a0,8.98,-331.16
Create Drone Method,657756e7-df62-413c-84e4-5b80aed53fba,8.98,163.84,ebb300e9-e5f7-4ac3-9f88-f3c5c3b7466c,488.98,8.84
Create Drone Method,250c01e7-a6aa-4cec-870c-3d573a6f1882,-116.02,-471.16,7d1817f6-2d8b-488a-93de-c775905d603a,488.98,-456.16
Create Drone Method,a546624a-0736-4d04-8e33-3e08f7caa4f9,8.98,23.84,9b3aae36-7c9d-4be2-8b3e-625923032b11,503.98,-456.16
Create Drone Method,a908bd06-7313-4895-b936-3efab42591f5,488.98,-331.16,d5fa417b-2f6e-4f4e-8ca3-089b10ae30d5,223.98,-331.16
